var,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
Z[249],1,0,1,1,1,1,1,1,1
Z[25],1,0,1,1,1,1,1,1,1
Z[250],1,0,1,1,1,1,1,1,1
Z[251],1,0,1,1,1,1,1,1,1
Z[252],1,0,1,1,1,1,1,1,1
Z[253],1,0,1,1,1,1,1,1,1
Z[254],1,0,1,1,1,1,1,1,1
Z[255],1,0,1,1,1,1,1,1,1
Z[256],1,0,1,1,1,1,1,1,1
Z[257],1,0,1,1,1,1,1,1,1
Z[258],0,0,0,0,0,0,0,1,1
Z[259],1,0,1,1,1,1,1,1,1
Z[26],1,0,1,1,1,1,1,1,1
Z[260],1,0,1,1,1,1,1,1,1
Z[261],1,0,1,1,1,1,1,1,1
Z[262],1,0,1,1,1,1,1,1,1
Z[263],1,0,1,1,1,1,1,1,1
Z[264],1,0,1,1,1,1,1,1,1
Z[265],1,0,1,1,1,1,1,1,1
Z[266],0,0,0,0,0,0,0,1,1
Z[267],1,0,1,1,1,1,1,1,1
Z[268],1,0,1,1,1,1,1,1,1
Z[269],1,0,1,1,1,1,1,1,1
Z[27],0.080333333,0.271853865,0,0,0,0,1,1.000537001,3000
Z[270],1,0,1,1,1,1,1,1,1
Z[271],1,0,1,1,1,1,1,1,1
Z[272],0,0,0,0,0,0,0,1,1
Z[273],1,0,1,1,1,1,1,1,1
Z[274],1,0,1,1,1,1,1,1,1
Z[275],1,0,1,1,1,1,1,1,1
Z[276],1,0,1,1,1,1,1,1,1
Z[277],1,0,1,1,1,1,1,1,1
Z[278],1,0,1,1,1,1,1,1,1
Z[279],1,0,1,1,1,1,1,1,1
Z[28],1,0,1,1,1,1,1,1,1
Z[280],1,0,1,1,1,1,1,1,1
Z[281],1,0,1,1,1,1,1,1,1
Z[282],1,0,1,1,1,1,1,1,1
Z[283],1,0,1,1,1,1,1,1,1
Z[284],1,0,1,1,1,1,1,1,1
Z[285],0,0,0,0,0,0,0,1,1
Z[286],1,0,1,1,1,1,1,1,1
Z[287],1,0,1,1,1,1,1,1,1
Z[288],1,0,1,1,1,1,1,1,1
Z[289],1,0,1,1,1,1,1,1,1
Z[29],1,0,1,1,1,1,1,1,1
Z[290],1,0,1,1,1,1,1,1,1
Z[291],1,0,1,1,1,1,1,1,1
