"Factor","Value"
"tree_hansen",0.108840840266912
"termite.count.100m",-0.108153594072553
"urema_dist",-0.615249002990949
"tree_hansen",-0.0143885345447097
"termite.count.100m",-0.378896442265756
"urema_dist",-0.13375312058817
"tree_hansen",0.158433206867111
"termite.count.100m",-0.519705091842646
"urema_dist",-0.301245451523867
"tree_hansen",-0.0744529172448574
"termite.count.100m",0.173418732100612
"urema_dist",-0.535477382184817
"tree_hansen",0.212618935232672
"termite.count.100m",-0.175732776064833
"urema_dist",-0.517254781121489
"tree_hansen",1.00789663397091
"termite.count.100m",0.100444944812309
"urema_dist",-0.414506136270002
"tree_hansen",0.144344835559505
"termite.count.100m",-0.14581141640532
"urema_dist",-0.407765862797859
"tree_hansen",0.0278494645192429
"termite.count.100m",-0.310161367144643
"urema_dist",-0.607051963976416
"tree_hansen",-0.397395459913192
"termite.count.100m",-0.0439121212454684
"urema_dist",-0.243094005564522
"tree_hansen",0.216804119721569
"termite.count.100m",-0.0165734551400513
"urema_dist",-0.367989749359744
"tree_hansen",0.418924291758708
"termite.count.100m",0.252322115567767
"urema_dist",-0.183116949493979
"tree_hansen",0.465693688920635
"termite.count.100m",-0.159382670260662
"urema_dist",-0.331645229367862
"tree_hansen",-0.143097611002847
"termite.count.100m",-0.404389511304588
"urema_dist",-0.182292570271014
"tree_hansen",0.562538033265517
"termite.count.100m",0.0969227608540029
"urema_dist",-0.366527571792065
"tree_hansen",0.162321075919208
"termite.count.100m",0.0264046259532023
"urema_dist",-0.237482311586971
"tree_hansen",-0.466029218050148
"termite.count.100m",-0.794898884138994
"urema_dist",-0.39851862655157
"tree_hansen",0.17466398132514
"termite.count.100m",-0.158761275311785
"urema_dist",-0.720437006906931
"tree_hansen",-0.165696104422163
"termite.count.100m",0.359080001995176
"urema_dist",-0.329670294691042
"tree_hansen",0.766463494994951
"termite.count.100m",-0.195720895244927
"urema_dist",-0.251994356575474
"tree_hansen",-0.280939364358672
"termite.count.100m",-0.620248392142797
"urema_dist",-0.32058168119677
"tree_hansen",0.520742859436626
"termite.count.100m",-0.720495659223313
"urema_dist",-0.309573341636753
"tree_hansen",0.0346191244900148
"termite.count.100m",-0.10071199155156
"urema_dist",-0.221229438858549
"tree_hansen",0.131650250609385
"termite.count.100m",-0.0328346692665523
"urema_dist",-0.440697801406989
"tree_hansen",-0.35563658042926
"termite.count.100m",0.00992784165451208
"urema_dist",-0.625985689283938
"tree_hansen",0.275577964129428
"termite.count.100m",-0.0271924006606303
"urema_dist",-0.49818994891477
"tree_hansen",-0.0976983556125444
"termite.count.100m",0.493614123659335
"urema_dist",-0.260742985572739
"tree_hansen",0.219520610956697
"termite.count.100m",0.14411127702005
"urema_dist",-0.43436834547316
"tree_hansen",0.51051396882052
"termite.count.100m",-0.432590793909641
"urema_dist",-0.464917748605197
"tree_hansen",0.114258964171576
"termite.count.100m",-0.185813581056908
"urema_dist",-0.436547588846742
"tree_hansen",0.156981067174013
"termite.count.100m",-0.18391224651732
"urema_dist",-0.0256895016145011
"tree_hansen",0.0439480609612351
"termite.count.100m",-0.202667258047914
"urema_dist",-0.441480186814765
"tree_hansen",-0.099794185687644
"termite.count.100m",-0.105737309919964
"urema_dist",-0.420169854051765
"tree_hansen",0.335029773376708
"termite.count.100m",0.356417525830335
"urema_dist",-0.24846247781525
"tree_hansen",0.0548818187393784
"termite.count.100m",-0.0253306309462036
"urema_dist",-0.481785885597095
"tree_hansen",0.23515877238959
"termite.count.100m",-0.0922032864814808
"urema_dist",-0.346870258322659
"tree_hansen",0.529788039159884
"termite.count.100m",0.225649921321166
"urema_dist",-0.240362936370634
"tree_hansen",-0.269450745651933
"termite.count.100m",0.408967389377004
"urema_dist",-0.75578709191827
"tree_hansen",-0.155787611266494
"termite.count.100m",0.172999483643844
"urema_dist",-0.706994047524144
"tree_hansen",0.602013110847279
"termite.count.100m",0.101040333445557
"urema_dist",-0.228262296109462
"tree_hansen",-0.00741738921415336
"termite.count.100m",-0.144822767897113
"urema_dist",-0.322151498652167
"tree_hansen",0.0277696516529438
"termite.count.100m",0.18132636014591
"urema_dist",-0.459862326930187
"tree_hansen",0.0221439472945517
"termite.count.100m",-0.319079272923796
"urema_dist",-0.434882287281195
"tree_hansen",0.668063354084133
"termite.count.100m",-0.316274832781778
"urema_dist",-0.297397525041531
"tree_hansen",-0.0402153488037416
"termite.count.100m",0.224038621282255
"urema_dist",-0.694079566559234
"tree_hansen",0.739457138580313
"termite.count.100m",0.120294890266866
"urema_dist",-0.408558480113227
"tree_hansen",0.21672449811765
"termite.count.100m",-0.190249144316869
"urema_dist",-0.254253937527452
"tree_hansen",0.110943500067997
"termite.count.100m",0.0202455725586323
"urema_dist",-0.520624905860867
"tree_hansen",0.22408448949869
"termite.count.100m",0.366813491619098
"urema_dist",-0.534726385157753
"tree_hansen",0.285797837669113
"termite.count.100m",0.253700394545568
"urema_dist",-0.089023816525292
"tree_hansen",0.203633491888448
"termite.count.100m",0.430922029371451
"urema_dist",-0.502271037508713
"tree_hansen",0.0430130385023285
"termite.count.100m",-0.121284167032211
"urema_dist",0.0151472337657649
"tree_hansen",-0.233825802290461
"termite.count.100m",0.066955935258183
"urema_dist",-0.353336383677174
"tree_hansen",0.373042531397232
"termite.count.100m",-0.202006827482123
"urema_dist",-0.0057318959884276
"tree_hansen",-0.615221070596865
"termite.count.100m",0.229849735302719
"urema_dist",-0.359026960602309
"tree_hansen",-0.203879069690796
"termite.count.100m",0.437192343198952
"urema_dist",-0.433845843201465
"tree_hansen",0.0117206417506396
"termite.count.100m",-0.00863858907134385
"urema_dist",-0.395281565309363
"tree_hansen",0.372685248623161
"termite.count.100m",-0.225839721591061
"urema_dist",-0.399157269327703
"tree_hansen",0.557916226926647
"termite.count.100m",-0.38434807370404
"urema_dist",-0.409715407866834
"tree_hansen",0.209985746242631
"termite.count.100m",0.43378688572761
"urema_dist",-0.13179629610305
"tree_hansen",-0.146142924768817
"termite.count.100m",-0.0463700917260594
"urema_dist",-0.342607285231736
"tree_hansen",0.0289404847859404
"termite.count.100m",0.155822898872455
"urema_dist",-0.649033359755271
"tree_hansen",0.148733655208206
"termite.count.100m",-0.230247250822872
"urema_dist",-0.153141224570282
"tree_hansen",-0.232350990720587
"termite.count.100m",0.219728888401538
"urema_dist",-0.837805989796474
"tree_hansen",0.393687968443681
"termite.count.100m",0.0600750461746526
"urema_dist",-0.456493625419604
"tree_hansen",0.44069872608023
"termite.count.100m",-0.179403405361449
"urema_dist",-0.371732183632814
"tree_hansen",0.0740865479403215
"termite.count.100m",-0.422041920887197
"urema_dist",-0.49201515776301
"tree_hansen",-0.567098625419968
"termite.count.100m",0.768431606994169
"urema_dist",-0.384598149395216
"tree_hansen",0.182900366548837
"termite.count.100m",0.687752428599838
"urema_dist",-0.470513377901172
"tree_hansen",-0.337344971416007
"termite.count.100m",0.104253365656755
"urema_dist",-0.15700718992466
"tree_hansen",0.00157888493999306
"termite.count.100m",-0.229699265206929
"urema_dist",-0.300851735643903
"tree_hansen",0.302732872950388
"termite.count.100m",-0.0752151997039452
"urema_dist",-0.223323097278883
"tree_hansen",0.342074953391663
"termite.count.100m",-0.623873978522886
"urema_dist",-0.335651727560356
"tree_hansen",0.455150847925692
"termite.count.100m",0.279775025909097
"urema_dist",-0.202094529296416
"tree_hansen",0.1832237707009
"termite.count.100m",-0.0517931678438759
"urema_dist",-0.523228568572937
"tree_hansen",0.262816030955706
"termite.count.100m",0.00664395083949604
"urema_dist",-0.108148784589243
"tree_hansen",-0.00302554602066452
"termite.count.100m",-0.155739171435889
"urema_dist",-0.504924458164179
"tree_hansen",0.207696947221873
"termite.count.100m",0.112073862927195
"urema_dist",-0.432386415328966
"tree_hansen",0.0537643447599492
"termite.count.100m",0.332832165625914
"urema_dist",-0.331252292548374
"tree_hansen",-0.104784385205153
"termite.count.100m",-0.068273924204378
"urema_dist",-0.519746667281784
"tree_hansen",-0.508936649513222
"termite.count.100m",-0.204799653538058
"urema_dist",-0.253643092038033
"tree_hansen",0.0156871597772003
"termite.count.100m",-0.121611792790018
"urema_dist",0.149155524705141
"tree_hansen",0.156149157315147
"termite.count.100m",0.248248044173863
"urema_dist",-0.454782557366545
"tree_hansen",0.425999281709504
"termite.count.100m",-0.122959079404215
"urema_dist",-0.425103778586156
"tree_hansen",0.330359593726627
"termite.count.100m",0.407912080602442
"urema_dist",-0.415046038988838
"tree_hansen",0.180591518683796
"termite.count.100m",0.289757355871955
"urema_dist",-0.628435983717967
"tree_hansen",0.31082284642782
"termite.count.100m",-0.0419760910744016
"urema_dist",-0.310925732992192
"tree_hansen",0.184923943541953
"termite.count.100m",0.51997883277626
"urema_dist",-0.638798153737046
"tree_hansen",0.0616851906471992
"termite.count.100m",-0.209476034345301
"urema_dist",-0.212577114674327
"tree_hansen",-0.0302353935721316
"termite.count.100m",-0.101184930679
"urema_dist",-0.374405421442721
"tree_hansen",-0.137414403227534
"termite.count.100m",-0.0114985612653031
"urema_dist",-0.0508622022191603
"tree_hansen",-0.0530278504324926
"termite.count.100m",-0.0875442699339221
"urema_dist",-0.365306955150682
"tree_hansen",0.420024652966108
"termite.count.100m",0.125614397382944
"urema_dist",-0.538105171724137
"tree_hansen",0.669423820569941
"termite.count.100m",-0.204256929213368
"urema_dist",-0.0265401767270362
"tree_hansen",0.407736644753218
"termite.count.100m",-0.0351760390416529
"urema_dist",-0.311561396335315
"tree_hansen",0.308407520706088
"termite.count.100m",-0.228806628551773
"urema_dist",-0.298741593577443
"tree_hansen",0.0325750389473591
